
ATNF Pulsar Catalogue
Catalogue Version: 2.1.1
#;NAME;PSRJ;P0;P1;F0;F1;DM;RM;W50;S1400;BINARY;DIST;AGE;
;;;(s);;(Hz);(s^-2);(cm^-3pc);(radm^-2);(ms);(mJy);(type);(kpc);(Yr);
823;B1322-66;J1326-6700;0.543015;5.33e-15;1.841570;-1.806e-14;208.97;-52.50;42.000;14.00;*;6.697;1.62e+06;
824;J1327-0755;J1327-0755;0.002678;1.80e-21;373.423698;-2.517e-16;27.91;-0.30;0.150;0.19;T2;25.000;2.35e+10;
825;B1323-62;J1327-6222;0.529929;1.88e-14;1.887045;-6.692e-14;318.48;-322.60;9.800;21.00;*;4.000;4.47e+05;
826;B1323-627;J1327-6301;0.196480;1.53e-15;5.089578;-3.963e-14;294.91;87.00;5.400;4.20;*;6.218;2.03e+06;
827;J1327-6400;J1327-6400;0.280678;3.12e-14;3.562802;-3.958e-13;679.00;-141.00;6.600;0.21;*;12.991;1.43e+05;
828;B1325-43;J1328-4357;0.532699;3.01e-15;1.877233;-1.062e-14;42.00;-22.90;11.000;4.40;*;1.424;2.80e+06;
829;B1325-49;J1328-4921;1.478721;6.10e-16;0.676260;-2.790e-16;118.00;170.00;10.000;0.82;*;8.396;3.84e+07;
830;J1328-62;J1328-62;0.528858;*;1.890868;*;194.80;*;18.600;0.08;*;4.563;*;
831;J1329+13;J1329+13;*;*;*;*;12.00;*;*;*;*;1.087;*;
832;J1329-6158;J1329-6158;1.565218;3.39e-14;0.638889;-1.384e-14;514.00;*;31.000;0.22;*;11.872;7.32e+05;
833;J1331-5245;J1331-5245;0.648117;5.10e-16;1.542932;-1.214e-15;148.40;83.00;29.000;0.30;*;8.933;2.01e+07;
834;J1332-03;J1332-03;1.106400;*;0.903832;*;27.10;*;*;*;*;25.000;*;
835;J1332-3032;J1332-3032;0.650434;5.60e-16;1.537434;-1.324e-15;15.10;*;35.000;0.30;*;0.882;1.84e+07;
836;J1333-4449;J1333-4449;0.345603;5.40e-19;2.893494;-4.521e-18;44.30;-71.00;1.700;0.30;*;1.434;1.01e+10;
837;J1334+10;J1334+10;0.911100;*;1.097574;*;24.00;*;18.000;*;*;25.000;*;
838;J1334-5839;J1334-5839;0.107718;2.16e-17;9.283481;-1.861e-15;119.30;54.00;4.200;0.62;*;2.495;7.90e+07;
839;J1335-3642;J1335-3642;0.399192;*;2.505060;*;41.82;*;11.000;0.27;*;2.495;*;
840;J1335-5656;J1335-5656;0.003238;1.21e-20;308.860000;-1.150e-15;*;*;*;*;*;*;4.26e+09;
841;J1336+33;J1336+33;3.013000;*;0.331895;*;8.50;*;*;*;*;0.719;*;
842;J1336-2522;J1336-2522;0.478145;3.31e-16;2.091414;-1.446e-15;37.39;*;12.000;*;*;5.349;2.29e+07;
843;J1337-4441;J1337-4441;1.257511;3.03e-16;0.795221;-1.917e-16;97.80;-28.00;77.000;1.50;*;25.000;6.57e+07;
844;J1337-6306;J1337-6306;0.207953;3.56e-16;4.808779;-8.228e-15;777.70;*;10.000;0.11;*;12.932;9.26e+06;
845;J1337-6423;J1337-6423;0.009423;2.47e-20;106.118735;-2.780e-16;259.89;-108.30;0.730;0.27;ELL1;5.951;6.05e+09;
846;B1334-61;J1338-6204;1.239001;1.38e-14;0.807102;-8.984e-15;640.30;-459.00;76.000;5.90;*;12.363;1.42e+06;
847;J1339-4712;J1339-4712;0.137055;5.30e-19;7.296359;-2.822e-17;39.90;17.00;2.300;0.70;*;1.212;4.10e+09;
848;J1339-6618;J1339-6618;0.558179;3.50e-16;1.791539;-1.123e-15;241.00;*;25.000;0.23;*;7.326;2.53e+07;
849;B1336-64;J1340-6456;0.378622;5.05e-15;2.641156;-3.524e-14;76.99;-2.00;12.000;0.90;*;1.402;1.19e+06;
850;J1341-6023;J1341-6023;0.627285;1.95e-14;1.594171;-4.946e-14;364.60;-688.00;6.700;0.63;*;7.277;5.11e+05;
851;B1338-62;J1341-6220;0.193340;2.53e-13;5.172242;-6.771e-12;719.65;-947.00;8.700;2.70;*;12.600;1.21e+04;
852;J1342+2822A;J1342+2822A;0.002545;*;392.967704;*;26.50;*;0.240;0.01;BT;10.180;*;
853;J1342+2822B;J1342+2822B;0.002389;1.86e-20;418.511473;-3.254e-15;26.15;*;0.200;0.01;ELL1;10.180;2.04e+09;
854;J1342+2822C;J1342+2822C;0.002166;*;461.680517;*;26.50;*;0.240;0.01;*;10.180;*;
855;J1342+2822D;J1342+2822D;0.005443;*;183.723050;*;26.36;*;0.500;0.01;DD;10.180;*;
856;J1342+2822E;J1342+2822E;0.005470;*;182.815356;*;26.54;*;*;*;*;10.180;*;
857;J1342+2822F;J1342+2822F;0.004400;*;227.272727;*;26.47;*;*;*;*;10.180;*;
858;J1343+6634;J1343+6634;1.394104;1.09e-15;0.717307;-5.599e-16;30.03;57.02;57.000;*;*;25.000;2.03e+07;
859;J1344-5855;J1344-5855;0.252398;2.91e-15;3.961998;-4.575e-14;294.10;*;13.000;0.14;*;7.538;1.37e+06;
860;J1344-6059;J1344-6059;0.540102;4.30e-17;1.851501;-1.474e-16;435.00;*;29.000;0.19;*;7.414;1.99e+08;
861;J1345-6115;J1345-6115;1.253085;3.25e-15;0.798031;-2.070e-15;278.00;-61.00;27.000;0.59;*;5.565;6.11e+06;
862;J1346-4918;J1346-4918;0.299625;3.50e-17;3.337504;-3.899e-16;74.42;*;9.900;0.50;*;2.529;1.36e+08;
863;J1347-5947;J1347-5947;0.609962;1.42e-14;1.639447;-3.806e-14;293.40;-548.00;11.000;0.67;*;6.285;6.82e+05;
864;J1348-6307;J1348-6307;0.927772;3.79e-15;1.077851;-4.400e-15;597.00;-604.00;79.000;0.51;*;10.643;3.88e+06;
865;J1349-6130;J1349-6130;0.259365;5.12e-15;3.855574;-7.607e-14;283.87;-380.00;5.300;0.76;*;5.481;8.03e+05;
866;J1349-63;J1349-63;0.373034;*;2.680721;*;478.00;*;23.000;*;*;9.313;*;
867;J1350-5115;J1350-5115;0.295700;7.58e-16;3.381809;-8.663e-15;90.39;-2.00;4.000;1.27;*;3.304;6.18e+06;
868;J1350-6225;J1350-6225;0.138158;8.88e-15;7.238101;-4.654e-13;*;*;*;*;*;*;2.46e+05;
869;J1352-6803;J1352-6803;0.628903;1.23e-15;1.590071;-3.120e-15;214.60;20.00;28.000;1.00;*;9.900;8.07e+06;
870;J1354+2454;J1354+2454;6.270000;*;0.159490;*;20.00;*;*;*;*;3.732;*;
871;J1354-6249;J1354-6249;2.951938;1.48e-14;0.338760;-1.698e-15;254.00;*;57.000;0.24;*;5.158;3.16e+06;
872;B1352-51;J1355-5153;0.644305;2.81e-15;1.552061;-6.774e-15;112.10;55.00;5.000;0.85;*;4.984;3.63e+06;
873;J1355-5747;J1355-5747;2.038674;7.07e-16;0.490515;-1.700e-16;229.00;*;29.000;0.36;*;6.443;4.57e+07;
874;J1355-5925;J1355-5925;1.213381;5.99e-15;0.824143;-4.066e-15;354.80;-452.00;20.000;0.55;*;7.208;3.21e+06;
875;J1355-6206;J1355-6206;0.276603;3.10e-18;3.615289;-4.052e-17;547.00;-474.00;22.000;0.54;*;7.542;1.41e+09;
876;J1356-5521;J1356-5521;0.507380;7.24e-16;1.970911;-2.810e-15;174.17;89.00;16.000;0.90;*;7.316;1.11e+07;
877;J1357-2530;J1357-2530;0.912971;*;1.095325;*;31.27;*;35.000;0.15;*;2.545;*;
878;B1353-62;J1357-62;0.455761;*;2.194132;*;416.70;-589.00;18.200;13.00;*;6.481;*;
879;J1357-6429;J1357-6429;0.166108;3.60e-13;6.020168;-1.305e-11;128.50;-47.00;16.000;0.52;*;3.100;7.31e+03;
880;J1358-59;J1358-59;0.374120;*;2.672940;*;324.00;*;11.700;0.08;*;6.594;*;
881;J1358-6025;J1358-6025;0.060533;3.02e-15;16.520000;-8.230e-13;*;*;*;*;*;*;3.18e+05;
882;B1356-60;J1359-6038;0.127508;6.33e-15;7.842616;-3.894e-13;293.74;38.30;2.700;12.50;*;5.000;3.19e+05;
883;J1400+21;J1400+21;*;*;*;*;10.50;*;*;*;*;0.908;*;
884;J1400-1431;J1400-1431;0.003084;7.23e-21;324.229692;-7.604e-16;4.93;5.00;0.220;0.17;ELL1;0.278;6.76e+09;
885;J1400-6325;J1400-6325;0.031182;3.89e-14;32.070194;-4.001e-11;563.00;*;*;0.25;*;7.000;1.27e+04;
886;B1358-63;J1401-6357;0.842805;1.68e-14;1.186514;-2.369e-14;98.00;62.00;9.100;7.10;*;1.800;7.94e+05;
887;J1402+1306;J1402+1306;0.005892;1.35e-20;169.709886;-3.876e-16;8.66;*;*;*;ELL1;0.696;6.94e+09;
888;B1359-51;J1402-5021;1.380182;5.41e-15;0.724542;-2.842e-15;51.00;*;30.000;*;*;1.285;4.04e+06;
889;J1403-0314;J1403-0314;0.362634;*;2.757601;*;31.00;*;*;*;*;25.000;*;
890;J1403-6310;J1403-6310;0.399170;9.00e-17;2.505197;-5.648e-16;305.00;-709.00;17.000;0.65;*;5.666;7.03e+07;
891;J1403-7646;J1403-7646;1.306198;1.20e-15;0.765581;-7.057e-16;100.60;94.00;17.000;0.80;*;5.307;1.72e+07;
892;J1404+1159;J1404+1159;2.650439;1.38e-15;0.377296;-1.960e-16;18.50;4.00;34.000;0.28;*;2.189;3.05e+07;
893;J1405-4656;J1405-4656;0.007602;2.79e-20;131.540810;-4.828e-16;13.88;-5.00;*;0.31;ELL1;0.669;4.32e+09;
894;J1405-5641;J1405-5641;0.617575;1.20e-15;1.619237;-3.140e-15;273.00;*;4.800;0.10;*;12.383;8.17e+06;
895;J1406-4233;J1406-4233;2.436795;6.81e-16;0.410375;-1.147e-16;79.70;-68.00;45.000;0.23;*;6.785;5.67e+07;
896;J1406-5806;J1406-5806;0.288349;6.11e-16;3.468017;-7.349e-15;229.00;153.00;49.000;0.84;*;5.568;7.48e+06;
897;J1406-59;J1406-59;1.248318;*;0.801078;*;304.00;*;29.200;0.07;*;5.827;*;
898;J1406-6121;J1406-6121;0.213075;5.47e-14;4.693191;-1.205e-12;537.29;880.00;13.000;0.44;*;7.292;6.17e+04;
899;J1407-6048;J1407-6048;0.492344;3.16e-15;2.031099;-1.302e-14;575.20;*;22.000;0.20;*;7.860;2.47e+06;
900;J1407-6153;J1407-6153;0.701615;8.85e-15;1.425283;-1.797e-14;645.00;*;57.000;0.36;*;8.205;1.26e+06;
901;J1409-6953;J1409-6953;0.528591;8.40e-16;1.891823;-3.006e-15;167.60;-51.00;23.000;0.30;*;8.752;9.97e+06;
902;J1410-6132;J1410-6132;0.050052;3.20e-14;19.979243;-1.277e-11;961.00;2270.00;17.000;1.90;*;13.510;2.48e+04;
903;J1410-7404;J1410-7404;0.278729;6.74e-18;3.587709;-8.675e-17;54.24;-4.00;1.400;1.20;*;1.336;6.55e+08;
904;J1411+2551;J1411+2551;0.062453;9.60e-20;16.012068;-2.461e-17;12.37;7.60;2.450;*;DD;1.131;1.03e+10;
905;J1412+7922;J1412+7922;0.058199;3.29e-15;17.182405;-9.717e-13;*;*;*;*;*;*;2.80e+05;
906;J1412-6111;J1412-6111;0.529156;1.91e-15;1.889800;-6.830e-15;311.80;-93.00;11.000;0.44;*;5.284;4.38e+06;
907;J1412-6145;J1412-6145;0.315258;9.90e-14;3.172001;-9.964e-13;512.48;-52.00;12.000;0.69;*;7.097;5.04e+04;
908;J1413-6141;J1413-6141;0.285625;3.33e-13;3.501099;-4.087e-12;667.60;-354.00;13.000;0.82;*;8.469;1.36e+04;
909;J1413-6205;J1413-6205;0.109741;2.77e-14;9.112390;-2.298e-12;*;*;*;*;*;2.150;6.28e+04;
910;J1413-6222;J1413-6222;0.292408;2.23e-15;3.419883;-2.607e-14;808.10;-490.00;23.000;0.96;*;13.087;2.08e+06;
911;B1409-62;J1413-6307;0.394946;7.43e-15;2.531993;-4.766e-14;121.98;44.00;3.500;1.20;*;3.037;8.42e+05;
912;J1414-6802;J1414-6802;4.630188;6.39e-15;0.215974;-2.981e-16;153.50;*;118.000;0.65;*;5.420;1.15e+07;
913;J1415-6621;J1415-6621;0.392479;5.80e-16;2.547907;-3.765e-15;260.17;302.00;6.900;0.50;*;10.430;1.07e+07;
914;J1416-5033;J1416-5033;0.794883;1.20e-16;1.258048;-1.899e-16;58.50;*;13.900;0.10;*;1.423;1.05e+08;
915;J1416-6037;J1416-6037;0.295580;4.28e-15;3.383173;-4.899e-14;289.20;336.00;13.000;0.70;*;5.083;1.09e+06;
916;J1417-4402;J1417-4402;0.002664;*;375.344942;*;55.00;*;*;*;ELL1;4.400;*;
917;J1418-3921;J1418-3921;1.096806;8.89e-16;0.911738;-7.392e-16;60.49;-15.00;20.400;0.95;*;4.081;1.95e+07;
918;J1418-5945;J1418-5945;1.672596;2.71e-16;0.597873;-9.687e-17;369.00;*;64.000;0.18;*;6.140;9.78e+07;
919;J1418-6058;J1418-6058;0.110573;1.69e-13;9.043798;-1.385e-11;*;*;*;*;*;1.885;1.03e+04;
920;B1417-54;J1420-5416;0.935772;2.32e-16;1.068636;-2.651e-16;129.60;-1.00;21.000;0.79;*;4.399;6.39e+07;
921;J1420-5625;J1420-5625;0.034117;6.75e-20;29.310788;-5.800e-17;64.48;33.00;1.300;0.12;BT;1.328;8.01e+09;
922;J1420-6048;J1420-6048;0.068180;8.32e-14;14.667084;-1.789e-11;360.15;-122.00;8.500;1.19;*;5.632;1.30e+04;
923;J1421-4409;J1421-4409;0.006386;1.24e-20;156.599196;-3.033e-16;54.64;-24.30;0.220;1.26;ELL1;2.085;8.18e+09;
924;J1422-6138;J1422-6138;0.340968;9.68e-14;2.932828;-8.329e-13;*;*;*;0.00;*;*;5.58e+04;
925;J1423-6953;J1423-6953;0.333411;1.45e-15;2.999304;-1.306e-14;123.98;*;1.600;0.36;*;4.704;3.64e+06;
926;J1424-5556;J1424-5556;0.770375;7.80e-16;1.298069;-1.315e-15;199.00;*;22.000;0.38;*;6.206;1.56e+07;
927;J1424-56;J1424-56;1.427000;*;0.700771;*;32.90;*;7.000;*;*;0.949;*;
928;J1424-5822;J1424-5822;0.366736;3.94e-15;2.726756;-2.926e-14;323.90;-643.00;10.000;1.30;*;6.696;1.48e+06;
929;J1424-6438;J1424-6438;1.023504;2.40e-16;0.977036;-2.291e-16;248.00;*;70.000;0.24;*;6.079;6.76e+07;
930;J1425-5723;J1425-5723;0.353263;2.20e-17;2.830753;-1.763e-16;43.40;*;6.600;0.24;*;1.065;2.54e+08;
931;J1425-5759;J1425-5759;0.707868;7.42e-16;1.412694;-1.481e-15;325.00;*;7.600;0.09;*;7.635;1.51e+07;
932;J1425-6210;J1425-6210;0.501730;4.78e-16;1.993103;-1.900e-15;430.10;*;8.300;0.19;*;6.851;1.66e+07;
933;J1426+52;J1426+52;0.995800;*;1.004218;*;25.37;*;10.000;*;*;25.000;*;
934;J1427-4158;J1427-4158;0.586486;6.21e-16;1.705072;-1.806e-15;65.40;*;16.000;0.30;*;3.744;1.50e+07;
935;B1424-55;J1428-5530;0.570292;2.09e-15;1.753486;-6.416e-15;82.40;4.00;13.000;7.67;*;1.897;4.33e+06;
936;J1429-5911;J1429-5911;0.115843;3.05e-14;8.632402;-2.273e-12;*;*;*;*;*;1.955;6.02e+04;
937;J1429-5935;J1429-5935;0.763915;4.28e-14;1.309046;-7.326e-14;457.00;*;12.000;0.11;*;7.686;2.83e+05;
938;J1430-5712;J1430-5712;0.491519;4.69e-14;2.034510;-1.943e-13;149.00;*;10.000;0.09;*;3.902;1.66e+05;
939;B1426-66;J1430-6623;0.785443;2.78e-15;1.273166;-4.502e-15;65.10;-19.20;3.800;16.00;*;1.327;4.48e+06;
940;J1431-4715;J1431-4715;0.002012;1.41e-20;497.029394;-3.486e-15;59.35;13.25;*;0.67;ELL1;1.562;2.26e+09;
941;J1431-5740;J1431-5740;0.004111;6.42e-21;243.276805;-3.800e-16;131.38;-42.20;0.176;0.36;BT;3.553;1.01e+10;
942;J1431-6328;J1431-6328;0.002772;*;360.711889;*;228.27;*;0.830;*;*;4.925;*;
943;J1432-5032;J1432-5032;2.034989;5.92e-15;0.491403;-1.431e-15;113.00;11.00;36.000;0.30;*;5.280;5.44e+06;
944;J1433+00;J1433+00;*;*;*;*;23.50;*;3.800;*;*;2.993;*;
945;J1433-6038;J1433-6038;1.954430;5.63e-15;0.511658;-1.474e-15;409.00;*;46.000;0.23;*;6.221;5.50e+06;
946;J1434+7257;J1434+7257;0.041741;5.50e-19;23.957175;-3.157e-16;12.61;-9.70;1.900;*;*;0.974;1.20e+09;
947;J1434-5943;J1434-5943;1.072121;2.96e-17;0.932730;-2.575e-17;126.00;*;42.900;0.17;*;3.212;5.74e+08;
948;J1434-6006;J1434-6006;0.306368;3.02e-15;3.264050;-3.218e-14;332.00;-361.00;4.500;0.24;*;5.297;1.61e+06;
949;J1434-6029;J1434-6029;0.963348;1.03e-15;1.038046;-1.110e-15;282.00;*;19.000;0.14;*;4.808;1.48e+07;
950;J1435-5954;J1435-5954;0.472996;1.55e-15;2.114181;-6.919e-15;44.26;-14.00;18.000;1.60;*;1.064;4.84e+06;
951;J1435-60;J1435-60;3.262166;*;0.306545;*;507.40;*;76.500;0.07;*;7.563;*;
952;J1435-6100;J1435-6100;0.009348;2.45e-20;106.975072;-2.800e-16;113.78;-53.73;1.100;0.31;ELL1;2.816;6.05e+09;
953;J1437-5959;J1437-5959;0.061696;8.59e-15;16.208474;-2.256e-12;549.60;-705.00;4.330;0.07;*;8.543;1.14e+05;
954;J1437-6146;J1437-6146;0.467616;6.33e-15;2.138505;-2.895e-14;200.50;*;16.000;0.24;*;4.253;1.17e+06;
955;J1437-62;J1437-62;0.777994;*;1.285356;*;327.00;*;18.200;0.06;*;6.662;*;
956;J1439+7655;J1439+7655;0.947903;*;1.054960;*;22.29;*;7.000;*;*;2.047;*;
957;J1439-5501;J1439-5501;0.028635;1.42e-19;34.922434;-1.729e-16;14.56;-7.90;1.700;0.38;ELL1;0.655;3.20e+09;
958;B1436-63;J1440-6344;0.459607;1.12e-15;2.175773;-5.306e-15;124.20;29.00;8.100;0.78;*;3.446;6.50e+06;
959;J1441-6137;J1441-6137;1.175840;3.60e-16;0.850456;-2.604e-16;166.00;*;18.000;0.15;*;3.882;5.18e+07;
960;J1443-5122;J1443-5122;0.732061;3.38e-16;1.366006;-6.307e-16;87.00;43.00;44.000;0.60;*;2.979;3.43e+07;
961;J1444-5941;J1444-5941;2.760228;8.23e-15;0.362289;-1.080e-15;177.10;-164.00;47.000;0.42;*;3.844;5.31e+06;
962;J1444-6026;J1444-6026;4.758576;1.85e-14;0.210147;-8.188e-16;367.70;*;21.000;*;*;5.823;4.07e+06;
963;J1446-4701;J1446-4701;0.002195;9.81e-21;455.644016;-2.036e-15;55.83;-9.10;0.100;0.46;T2;1.569;3.55e+09;
964;J1447-5757;J1447-5757;0.158730;1.17e-14;6.300000;-4.660e-13;*;*;*;*;*;*;2.14e+05;
965;J1449-5846;J1449-5846;0.463330;8.60e-17;2.158291;-4.006e-16;216.60;*;21.000;0.28;*;4.169;8.54e+07;
966;J1452-5851;J1452-5851;0.386643;5.07e-14;2.586366;-3.392e-13;260.50;47.00;9.100;0.33;*;4.504;1.21e+05;
967;J1452-6036;J1452-6036;0.154992;1.45e-15;6.451938;-6.038e-14;349.52;16.20;1.800;1.90;*;6.134;1.69e+06;
968;J1453+1902;J1453+1902;0.005792;1.17e-20;172.642910;-3.474e-16;14.06;3.30;0.400;0.16;*;1.269;7.87e+09;
969;B1449-64;J1453-6413;0.179487;2.74e-15;5.571440;-8.518e-14;71.25;-18.60;3.200;18.00;*;2.800;1.04e+06;
970;J1454-5846;J1454-5846;0.045249;8.17e-19;22.100047;-3.990e-16;116.09;84.30;2.900;0.30;BT;2.988;8.78e+08;
971;J1455-3330;J1455-3330;0.007987;2.43e-20;125.200245;-3.810e-16;13.57;12.00;0.800;0.73;DD;0.684;5.21e+09;
972;J1455-59;J1455-59;0.176191;*;5.675652;*;498.00;*;*;1.60;*;6.693;*;
973;J1456-48;J1456-48;0.536810;*;1.862857;*;133.00;*;*;*;*;9.337;*;
974;B1451-68;J1456-6843;0.263377;9.89e-17;3.796840;-1.426e-15;8.61;-0.10;13.000;64.00;*;0.430;4.22e+07;
975;B1454-51;J1457-5122;1.748308;5.30e-15;0.571982;-1.733e-15;37.00;13.00;14.000;1.38;*;0.994;5.23e+06;
976;J1457-5900;J1457-5900;1.498637;3.66e-15;0.667273;-1.630e-15;175.00;*;62.000;0.24;*;3.738;6.49e+06;
977;J1457-5902;J1457-5902;0.390739;1.23e-14;2.559251;-8.060e-14;477.20;13.70;7.200;0.26;*;6.366;5.03e+05;
978;J1459-6053;J1459-6053;0.103151;2.53e-14;9.694559;-2.375e-12;*;*;*;*;*;1.840;6.47e+04;
979;J1501-0046;J1501-0046;0.464037;2.39e-16;2.155001;-1.110e-15;22.26;*;10.000;*;*;2.131;3.08e+07;
980;J1501-5637;J1501-5637;0.782949;1.70e-16;1.277223;-2.773e-16;258.00;*;25.000;0.21;*;4.938;7.30e+07;
981;J1502+28;J1502+28;3.784000;*;0.264271;*;14.00;*;*;*;*;1.289;*;
982;J1502+4653;J1502+4653;1.752508;1.72e-16;0.570611;-5.600e-17;26.60;*;29.080;*;*;25.000;1.61e+08;
983;J1502-5653;J1502-5653;0.535504;1.83e-15;1.867398;-6.377e-15;194.00;-253.70;7.200;0.39;*;3.961;4.64e+06;
984;J1502-5828;J1502-5828;0.668105;3.64e-14;1.496770;-8.155e-14;584.00;362.00;22.000;0.50;*;7.092;2.91e+05;
985;J1502-6128;J1502-6128;0.842104;1.35e-15;1.187502;-1.901e-15;256.50;69.00;30.000;0.56;*;5.190;9.90e+06;
986;J1502-6752;J1502-6752;0.026744;3.15e-19;37.390972;-4.397e-16;152.24;232.80;2.970;0.87;ELL1;7.866;1.35e+09;
987;J1503+2111;J1503+2111;3.314002;1.40e-16;0.301750;-1.275e-17;3.26;-5.00;42.000;*;*;0.244;3.75e+08;
988;J1504-5621;J1504-5621;0.412985;5.53e-15;2.421394;-3.242e-14;148.60;*;11.000;0.24;*;3.548;1.18e+06;
989;J1504-5659;J1504-5659;1.672372;1.43e-15;0.597953;-5.106e-16;454.20;*;49.000;0.11;*;11.275;1.86e+07;
990;J1505-25;J1505-25;0.999000;*;1.001001;*;44.70;*;11.000;*;*;4.019;*;
991;B1503-51;J1506-5158;0.840739;6.37e-15;1.189430;-9.012e-15;61.00;*;14.000;3.75;*;1.384;2.09e+06;
992;B1504-43;J1507-4352;0.286758;1.58e-15;3.487255;-1.927e-14;48.70;-34.00;4.200;0.90;*;1.394;2.87e+06;
993;J1507-5800;J1507-5800;0.897254;2.60e-16;1.114511;-3.233e-16;429.50;*;8.700;0.20;*;5.893;5.46e+07;
994;B1503-66;J1507-6640;0.355656;1.15e-15;2.811703;-9.107e-15;129.80;-43.00;3.500;0.60;*;4.792;4.89e+06;
995;B1508+55;J1509+5531;0.739682;5.00e-15;1.351932;-9.135e-15;19.62;1.43;10.900;8.00;*;2.100;2.34e+06;
996;J1509-5850;J1509-5850;0.088925;9.17e-15;11.245449;-1.159e-12;142.10;41.00;3.400;0.21;*;3.371;1.54e+05;
997;J1509-6015;J1509-6015;0.339038;2.12e-15;2.949518;-1.845e-14;423.60;*;13.000;0.17;*;11.090;2.53e+06;
998;B1507-44;J1510-4422;0.943871;6.10e-16;1.059466;-6.847e-16;84.00;8.00;50.000;*;*;4.128;2.45e+07;
999;J1511-5414;J1511-5414;0.200384;4.85e-16;4.990420;-1.207e-14;84.76;-52.00;4.300;0.75;*;2.430;6.55e+06;
1000;J1511-5835;J1511-5835;0.301511;3.44e-16;3.316634;-3.784e-15;329.40;*;19.000;0.50;*;5.122;1.39e+07;
1001;J1512-5431;J1512-5431;2.040532;1.92e-15;0.490068;-4.611e-16;219.00;5.30;114.000;0.38;*;5.115;1.68e+07;
1002;B1508-57;J1512-5759;0.128699;6.85e-15;7.770094;-4.137e-13;627.47;510.00;6.000;7.80;*;6.835;2.98e+05;
1003;J1513-2550;J1513-2550;0.002119;2.16e-20;471.905670;-4.812e-15;46.88;*;*;0.31;ELL1;3.960;1.55e+09;
1004;J1513-5739;J1513-5739;0.973458;2.75e-14;1.027266;-2.907e-14;469.70;261.00;19.000;0.77;*;5.890;5.60e+05;
1005;B1509-58;J1513-5908;0.151582;1.53e-12;6.597092;-6.653e-11;252.50;216.00;16.000;1.43;*;4.400;1.57e+03;
1006;J1513-5946;J1513-5946;1.046117;8.53e-15;0.955916;-7.793e-15;171.70;*;15.000;*;*;3.757;1.94e+06;
1007;J1513-6013;J1513-6013;1.958737;1.37e-15;0.510533;-3.573e-16;322.70;*;35.300;0.20;*;7.927;2.26e+07;
1008;B1510-48;J1514-4834;0.454840;9.26e-16;2.198574;-4.477e-15;51.50;18.00;3.500;1.30;*;1.243;7.78e+06;
1009;J1514-4946;J1514-4946;0.003589;1.86e-20;278.603009;-1.447e-15;31.01;34.60;*;0.25;ELL1;0.908;3.05e+09;
1010;J1514-5316;J1514-5316;0.296279;1.60e-18;3.375195;-1.823e-17;27.10;*;5.160;0.15;*;0.850;2.93e+09;
1011;J1514-5925;J1514-5925;0.148797;2.88e-15;6.720544;-1.300e-13;192.51;6.40;4.100;0.29;*;3.906;8.19e+05;
1012;J1515-5720;J1515-5720;0.286648;6.09e-15;3.488596;-7.416e-14;480.60;41.00;8.100;0.25;*;6.069;7.45e+05;
1013;J1516-43;J1516-43;0.036022;*;27.760652;*;70.30;*;*;*;ELL1;3.037;*;
1014;J1517-313;J1517-313;0.140668;*;7.108953;*;51.00;*;*;*;*;3.294;*;
1015;J1517-314;J1517-314;1.103726;*;0.906022;*;61.70;*;*;*;*;5.440;*;
1016;J1517-32;J1517-32;0.064402;*;15.527492;*;25.30;*;2.300;*;*;0.966;*;
1017;J1517-4356;J1517-4356;0.650837;2.16e-16;1.536483;-5.087e-16;87.78;1.00;8.900;0.50;*;4.473;4.79e+07;
1018;J1517-4636;J1517-4636;0.886612;2.10e-15;1.127888;-2.669e-15;127.00;-68.00;17.000;0.30;*;7.674;6.70e+06;
1019;B1516+02A;J1518+0204A;0.005554;4.12e-20;180.063625;-1.336e-15;30.08;*;0.370;0.12;*;7.480;2.13e+09;
1020;B1516+02B;J1518+0204B;0.007947;-3.30e-21;125.834588;5.225e-17;29.47;*;1.600;0.03;BT;7.480;*;
1021;J1518+0204C;J1518+0204C;0.002484;2.61e-20;402.588228;-4.225e-15;29.31;*;0.150;0.04;ELL1;7.480;1.51e+09;
1022;J1518+0204D;J1518+0204D;0.002988;*;334.672021;*;29.30;*;0.540;0.01;BT;7.480;*;
1023;J1518+0204E;J1518+0204E;0.003182;*;314.267756;*;29.30;*;0.250;0.01;BT;7.480;*;
1024;J1518+0204F;J1518+0204F;0.002650;*;377.358491;*;29.40;*;*;*;*;7.480;*;
1025;J1518+4904;J1518+4904;0.040935;2.72e-20;24.428979;-1.623e-17;11.61;-12.31;1.420;4.00;DD;0.806;2.39e+10;
1026;J1518-0627;J1518-0627;0.794997;4.18e-16;1.257867;-6.614e-16;27.96;*;7.800;*;*;2.679;3.01e+07;
1027;J1518-3952;J1518-3952;0.499196;2.37e-16;2.003222;-9.511e-16;102.40;*;7.800;0.90;*;12.299;3.34e+07;
1028;J1518-5415;J1518-5415;0.214925;4.06e-17;4.652790;-8.789e-16;167.20;*;2.700;0.08;*;3.768;8.39e+07;
1029;J1519-5734;J1519-5734;0.518758;4.27e-15;1.927682;-1.588e-14;654.70;*;54.000;0.45;*;6.799;1.92e+06;
1030;J1519-6106;J1519-6106;2.154307;8.37e-15;0.464186;-1.804e-15;221.00;*;21.000;0.19;*;5.047;4.08e+06;
